scenario,model,repeat,fold,accuracy,roc_auc,pr_auc,precision,recall,f1,balanced_accuracy,specificity,brier_score,threshold
rural,ElasticNet LR (rural),1,1,0.6875,0.7419354838709677,0.7760656918214993,0.7619047619047619,0.5161290322580645,0.6153846153846154,0.6823069403714566,0.8484848484848485,0.20663093379576772,0.5
rural,ElasticNet LR (rural),1,2,0.6875,0.69921875,0.7594897330882131,0.7727272727272727,0.53125,0.6296296296296297,0.6875,0.84375,0.21386343947341924,0.5
rural,ElasticNet LR (rural),1,3,0.671875,0.716796875,0.7794765124478916,0.6896551724137931,0.625,0.6557377049180327,0.671875,0.71875,0.21462663773039534,0.5
rural,ElasticNet LR (rural),1,4,0.765625,0.7626953125,0.7916054238578856,0.84,0.65625,0.7368421052631579,0.765625,0.875,0.19339215874622473,0.5
rural,ElasticNet LR (rural),1,5,0.746031746031746,0.817540322580645,0.8648240124242256,0.8,0.6451612903225806,0.7142857142857143,0.7444556451612903,0.84375,0.17090821583121238,0.5
rural,ElasticNet LR (rural),2,1,0.703125,0.7673509286412512,0.7987850246527073,0.7307692307692307,0.6129032258064516,0.6666666666666666,0.7003910068426198,0.7878787878787878,0.18835302794624115,0.5
rural,ElasticNet LR (rural),2,2,0.671875,0.736328125,0.7814833777739933,0.7619047619047619,0.5,0.6037735849056604,0.671875,0.84375,0.20998304177979127,0.5
rural,ElasticNet LR (rural),2,3,0.671875,0.76953125,0.8011122504935821,0.7391304347826086,0.53125,0.6181818181818182,0.671875,0.8125,0.1942841221772792,0.5
rural,ElasticNet LR (rural),2,4,0.734375,0.80078125,0.8324859269620732,0.7586206896551724,0.6875,0.7213114754098361,0.734375,0.78125,0.1778837112386979,0.5
rural,ElasticNet LR (rural),2,5,0.746031746031746,0.8104838709677419,0.8521833450061673,0.8260869565217391,0.6129032258064516,0.7037037037037037,0.7439516129032258,0.875,0.16948753470882486,0.5
rural,ElasticNet LR (rural),3,1,0.71875,0.8191593352883675,0.8565312933585978,0.7096774193548387,0.7096774193548387,0.7096774193548387,0.718475073313783,0.7272727272727273,0.16554086761713777,0.5
rural,ElasticNet LR (rural),3,2,0.671875,0.7119140625,0.7631648609667434,0.72,0.5625,0.631578947368421,0.671875,0.78125,0.2221646486231891,0.5
rural,ElasticNet LR (rural),3,3,0.65625,0.6748046875,0.7263264340467004,0.7272727272727273,0.5,0.5925925925925926,0.65625,0.8125,0.2234681309977775,0.5
rural,ElasticNet LR (rural),3,4,0.65625,0.701171875,0.7591347024123833,0.6923076923076923,0.5625,0.6206896551724138,0.65625,0.75,0.21276028644149658,0.5
rural,ElasticNet LR (rural),3,5,0.6825396825396826,0.6915322580645161,0.7474579033000569,0.7391304347826086,0.5483870967741935,0.6296296296296297,0.6804435483870968,0.8125,0.2215238736610677,0.5
rural,XGBoost (rural benchmark),1,1,0.640625,0.7135874877810362,0.746630485928504,0.625,0.6451612903225806,0.6349206349206349,0.6407624633431085,0.6363636363636364,0.2540471429605565,0.5
rural,XGBoost (rural benchmark),1,2,0.703125,0.8076171875,0.8337506711611472,0.8095238095238095,0.53125,0.6415094339622641,0.703125,0.875,0.21918333146726876,0.5
rural,XGBoost (rural benchmark),1,3,0.65625,0.6748046875,0.7229481317203729,0.65625,0.65625,0.65625,0.65625,0.65625,0.26899245343949035,0.5
rural,XGBoost (rural benchmark),1,4,0.75,0.7822265625,0.7968411165092297,0.75,0.75,0.75,0.75,0.75,0.2070711884409612,0.5
rural,XGBoost (rural benchmark),1,5,0.746031746031746,0.8175403225806452,0.8417532674659467,0.7272727272727273,0.7741935483870968,0.75,0.7464717741935484,0.71875,0.18616938766233398,0.5
rural,XGBoost (rural benchmark),2,1,0.703125,0.7693059628543499,0.7705662439931557,0.6666666666666666,0.7741935483870968,0.7164179104477612,0.7052785923753666,0.6363636363636364,0.2419426238167488,0.5
rural,XGBoost (rural benchmark),2,2,0.65625,0.7568359375,0.7459574572284282,0.65625,0.65625,0.65625,0.65625,0.65625,0.23079334777317984,0.5
rural,XGBoost (rural benchmark),2,3,0.578125,0.71875,0.741905935182839,0.5757575757575758,0.59375,0.5846153846153846,0.578125,0.5625,0.2574981142774005,0.5
rural,XGBoost (rural benchmark),2,4,0.6875,0.7724609375,0.8099750118897319,0.6875,0.6875,0.6875,0.6875,0.6875,0.22911823738607665,0.5
rural,XGBoost (rural benchmark),2,5,0.7142857142857143,0.8195564516129032,0.8552430259193131,0.76,0.6129032258064516,0.6785714285714286,0.7127016129032258,0.8125,0.19347427846004656,0.5
rural,XGBoost (rural benchmark),3,1,0.765625,0.8172043010752688,0.8553055952212514,0.75,0.7741935483870968,0.7619047619047619,0.7658846529814272,0.7575757575757576,0.18287569525781283,0.5
rural,XGBoost (rural benchmark),3,2,0.75,0.7685546875,0.741543260657164,0.7352941176470589,0.78125,0.7575757575757576,0.75,0.71875,0.21095921634408832,0.5
rural,XGBoost (rural benchmark),3,3,0.734375,0.84375,0.8623025893455729,0.7272727272727273,0.75,0.7384615384615385,0.734375,0.71875,0.17044123675989503,0.5
rural,XGBoost (rural benchmark),3,4,0.8125,0.849609375,0.8797065248287039,0.8846153846153846,0.71875,0.7931034482758621,0.8125,0.90625,0.15542671631186855,0.5
rural,XGBoost (rural benchmark),3,5,0.6666666666666666,0.7076612903225805,0.717079222053488,0.6785714285714286,0.6129032258064516,0.6440677966101694,0.6658266129032258,0.71875,0.25816047135313525,0.5
rural,GB (rural current),1,1,0.671875,0.7331378299120235,0.7327907566343432,0.65625,0.6774193548387096,0.6666666666666666,0.6720430107526881,0.6666666666666666,0.24616090655469192,0.5
rural,GB (rural current),1,2,0.734375,0.83203125,0.8478943887851773,0.8260869565217391,0.59375,0.6909090909090909,0.734375,0.875,0.19465480843786964,0.5
rural,GB (rural current),1,3,0.625,0.7001953125,0.7394482875319649,0.6333333333333333,0.59375,0.6129032258064516,0.625,0.65625,0.2793210990672683,0.5
rural,GB (rural current),1,4,0.71875,0.794921875,0.7949624816858571,0.71875,0.71875,0.71875,0.71875,0.71875,0.21082287289239715,0.5
rural,GB (rural current),1,5,0.7301587301587301,0.8266129032258064,0.8637509578239514,0.6944444444444444,0.8064516129032258,0.746268656716418,0.7313508064516129,0.65625,0.18969212592237875,0.5
rural,GB (rural current),2,1,0.703125,0.812316715542522,0.8317685774349524,0.6578947368421053,0.8064516129032258,0.7246376811594203,0.706256109481916,0.6060606060606061,0.23435883627986664,0.5
rural,GB (rural current),2,2,0.71875,0.822265625,0.8180448996529752,0.7333333333333333,0.6875,0.7096774193548387,0.71875,0.75,0.20209924166938464,0.5
rural,GB (rural current),2,3,0.71875,0.7861328125,0.8005123493653681,0.71875,0.71875,0.71875,0.71875,0.71875,0.1978878780438068,0.5
rural,GB (rural current),2,4,0.703125,0.7890625,0.8281849047900165,0.7096774193548387,0.6875,0.6984126984126984,0.703125,0.71875,0.20849539139188394,0.5
rural,GB (rural current),2,5,0.7619047619047619,0.8024193548387096,0.8542538649954949,0.8333333333333334,0.6451612903225806,0.7272727272727273,0.7600806451612903,0.875,0.1835210754314194,0.5
rural,GB (rural current),3,1,0.796875,0.8494623655913979,0.8787705463040927,0.8,0.7741935483870968,0.7868852459016393,0.7961876832844574,0.8181818181818182,0.16098286325474415,0.5
rural,GB (rural current),3,2,0.703125,0.7998046875,0.8126889613871306,0.696969696969697,0.71875,0.7076923076923077,0.703125,0.6875,0.20907620293221432,0.5
rural,GB (rural current),3,3,0.78125,0.8642578125,0.8849859791062417,0.75,0.84375,0.7941176470588235,0.78125,0.71875,0.1549012662278321,0.5
rural,GB (rural current),3,4,0.796875,0.86328125,0.8849904418239517,0.8275862068965517,0.75,0.7868852459016393,0.796875,0.84375,0.15091592380947969,0.5
rural,GB (rural current),3,5,0.6349206349206349,0.6935483870967741,0.7196879244718885,0.6538461538461539,0.5483870967741935,0.5964912280701754,0.6335685483870968,0.71875,0.26566269157146866,0.5
rural,Calibrated GB (isotonic),1,1,0.6875,0.729227761485826,0.7515186305420076,0.6666666666666666,0.7096774193548387,0.6875,0.6881720430107527,0.6666666666666666,0.21655051129310615,0.5
rural,Calibrated GB (isotonic),1,2,0.765625,0.841796875,0.8517565331361128,0.9047619047619048,0.59375,0.7169811320754716,0.765625,0.9375,0.17390557326013972,0.5
rural,Calibrated GB (isotonic),1,3,0.625,0.7236328125,0.7250987915965196,0.6818181818181818,0.46875,0.5555555555555556,0.625,0.78125,0.21642515327670056,0.5
rural,Calibrated GB (isotonic),1,4,0.75,0.81396484375,0.8259266079311134,0.8076923076923077,0.65625,0.7241379310344828,0.75,0.84375,0.1783738824890297,0.5
rural,Calibrated GB (isotonic),1,5,0.7936507936507936,0.8387096774193548,0.8727321477409021,0.78125,0.8064516129032258,0.7936507936507936,0.7938508064516129,0.78125,0.16030275931246668,0.5
rural,Calibrated GB (isotonic),2,1,0.765625,0.8274682306940372,0.8430921163897327,0.7222222222222222,0.8387096774193549,0.7761194029850746,0.7678396871945259,0.696969696969697,0.17592172964400762,0.5
rural,Calibrated GB (isotonic),2,2,0.703125,0.79052734375,0.7790412199169356,0.7241379310344828,0.65625,0.6885245901639344,0.703125,0.75,0.19128312530002234,0.5
rural,Calibrated GB (isotonic),2,3,0.71875,0.76416015625,0.788758816166899,0.75,0.65625,0.7,0.71875,0.78125,0.198222914584187,0.5
rural,Calibrated GB (isotonic),2,4,0.703125,0.79736328125,0.8214093563182453,0.7241379310344828,0.65625,0.6885245901639344,0.703125,0.75,0.18387177405629443,0.5
rural,Calibrated GB (isotonic),2,5,0.7936507936507936,0.8361895161290323,0.8743349430770301,0.8461538461538461,0.7096774193548387,0.7719298245614035,0.7923387096774194,0.875,0.1616957906394157,0.5
rural,Calibrated GB (isotonic),3,1,0.75,0.8479960899315737,0.8663618915106186,0.7586206896551724,0.7096774193548387,0.7333333333333333,0.7487781036168133,0.7878787878787878,0.1541239087583498,0.5
rural,Calibrated GB (isotonic),3,2,0.71875,0.77392578125,0.7916558184530924,0.71875,0.71875,0.71875,0.71875,0.71875,0.19349469647259043,0.5
rural,Calibrated GB (isotonic),3,3,0.796875,0.84130859375,0.8692731385462057,0.8064516129032258,0.78125,0.7936507936507936,0.796875,0.8125,0.1668577405085392,0.5
rural,Calibrated GB (isotonic),3,4,0.75,0.83154296875,0.8641879605259579,0.8636363636363636,0.59375,0.7037037037037037,0.75,0.90625,0.17396776309337328,0.5
rural,Calibrated GB (isotonic),3,5,0.6507936507936508,0.6910282258064516,0.7100684309084413,0.6666666666666666,0.5806451612903226,0.6206896551724138,0.6496975806451613,0.71875,0.22634827022328483,0.5
